Organization Name,Organization Name URL,IPO Status,Company Type,Industries,Number of Employees,Headquarters Location,CB Rank (Organization),Stage,CB Rank (Company),Stock Symbol,Stock Symbol URL,Similar Companies,CB Rank (School),Number of Events,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Delisted Date,Delisted Date Precision,IPO Date,Acquisition Terms,Acquisition Type,Price,Price Currency,Price (in USD),Announced Date,Announced Date Precision,Acquired by,Acquired by URL,Transaction Name,Transaction Name URL,Acquisition Status,Number of Acquisitions,Number of Investors,Number of Lead Investors,Top 5 Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Date,Funding Status,Number of Funding Rounds,Founders,Number of Founders,Industry Groups,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Investment Stage,Investor Type,Full Description,Phone Number,Contact Email,LinkedIn,Website,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Operating Status,Description,Estimated Revenue Range,Postal Code,Headquarters Regions,Number of Portfolio Organizations
Wopta Assicurazioni,https://www.crunchbase.com/organization/wopta-assicurazioni,Private,For Profit,"Insurance, InsurTech",11-50,"Milan, Lombardia, Italy","18,309",,"15,987",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,"Key Capital, CNA Ravenna, Gruppo Cordifin, Alcide Leali, Luigi Belluzzo",12143088,USD,12143088,Undisclosed,4000000,EUR,4175945,Undisclosed,4000000,EUR,4175945,2025-01-29,,3,,,Financial Services,,,,,,"Wopta Assicurazioni is the first Italian phygital insurtech which, thanks to a digital platform and a network of tied specialist throughout the country, was created to protect artisans, SMEs and freelances from everyday risks.",,info@wopta.it,https://www.linkedin.com/company/wopta-assicurazioni/,https://www.wopta.it,,,,,2021-11-05,day,Active,"The first Italian phygital insurtech protecting artisans, SMEs and freelances",,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Futura,https://www.crunchbase.com/organization/futura-8ee6,Private,For Profit,"E-Learning, Education, Information Technology",11-50,"Milano, Lombardia, Italy","18,945",,"16,582",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,"United Ventures, Eurazeo, Exor Ventures, Axon Partners Group, Ithaca Investments",15800000,EUR,16883101,Series A,14000000,EUR,15049928,Series A,14000000,EUR,15049928,2024-05-07,Early Stage Venture,2,"Andrea Salvatore Chirolli, Francesco Mario Salvatore, Lorenzo Pinto",3,"Education, Information Technology, Software",,,,,,Futura provides personalized learning using data driven approach and modular classes that adapt to student's Individual needs.,,info@wearefutura.com,https://www.linkedin.com/company/futurastudy,https://www.futura.study,,,,,2020-01-01,year,Active,Futura provides personalized learning using data driven approach and modular classes that adapt to student's Individual needs.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Spoki,https://www.crunchbase.com/organization/spoki,Private,For Profit,"Customer Service, E-Commerce, Marketing, PaaS, SaaS, Sales, Software",11-50,"San Vito Dei Normanni, Puglia, Italy","19,757",,"17,317",,,14,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,"CDP Venture Capital, BlackSheep Ventures, Finint Investments, Apside",5500000,EUR,5723824,Series A,5500000,EUR,5723824,Series A,5500000,EUR,5723824,2025-01-21,Early Stage Venture,1,"Fausto Pagliara, Giorgio Pagliara",2,"Commerce and Shopping, Other, Professional Services, Sales and Marketing, Software",,,,,,"Spoki helps businesses increase sales thanks to WhatsApp. Emails are no more a valid communication channel between businesses and customers. Spoki helps businesses engage their customers using WhatsApp during the whole customer journey: marketing, sales and customer support. Spoki is a WhatsApp conversational platform that allows you to:  - send bulk marketing messages to thousands customers with a click - integrate WhatsApp with:  - Ecommerce to notify abandoned cart, tracking number and order status  - Marketing Automation Tools or CRM to add it to sales funnels   - Social and Digital ADS to catch users in the exact moment expressing their interest in products and services - create automations and chatbots, for customer support or whatever you can think of If you are confident with the results you get today with emails, you'll be amazed at what you can achieve with Spoki.",,info@spoki.it,https://www.linkedin.com/company/spokiapp/,https://spoki.it,,,,,2021-01-01,day,Active,WhatsApp Conversational Platform,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Sibill,https://www.crunchbase.com/organization/sibill,Private,For Profit,"Asset Management, Financial Services, FinTech",11-50,"Milano, Lombardia, Italy","20,299",,"17,833",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,"Plug and Play, Exor Ventures, Keen Venture Partners, Banana Capital, Founders",6700000,EUR,7342195,Seed,6200000,EUR,6762498,Seed,6200000,EUR,6762498,2024-06-03,Seed,3,"Dario Prencipe, Lorenzo Liguor, Mattia Montepara",3,Financial Services,,,,,,"Sibill is a tool for centralizing, analyzing, and managing invoices and cash flows. Sibill collects data from all of your banks and tracks balances and movements. With one click, you can get a statement, a statement, and a journal entry, and you can simply share financial data with your team.",+393463112632,info@sibill.com,https://www.linkedin.com/company/sibill/,https://www.sibill.com/,,,,,2021-01-01,year,Active,Sibill is a fintech company that provides corporate liquidity management services online.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
AideXa,https://www.crunchbase.com/organization/aidexa,Private,For Profit,Financial Services,51-100,"Milan, Lombardia, Italy","20,513",,"18,010",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,"360 Capital, Generali Group, Banca Ifis, Banca Sella, Gruppo Bertoldi",102483511,USD,102483511,Venture - Series Unknown,16000000,EUR,17300383,Venture - Series Unknown,16000000,EUR,17300383,2024-06-12,,4,"Federico Sforza, Roberto Nicastro",2,Financial Services,,,,,,"AideXa is an Italian challenger bank for SMEs. It operates as credit institution, offering loans and investment-related services.",,,https://www.linkedin.com/company/aidexa/,https://www.aidexa.it/,,,,,2020-01-01,year,Active,AideXa is an Italian challenger bank for SMEs.,$10M to $50M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
One Trading,https://www.crunchbase.com/organization/one-trading,Private,For Profit,"Blockchain, Cryptocurrency, Web3",11-50,"Milan, Lombardia, Italy","20,532",,"18,029",,,131,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,"Speedinvest, Valar Ventures, Middlegame Ventures, Keyrock, SC Ventures",30000000,EUR,32745765,Venture - Series Unknown,,,,Venture - Series Unknown,,,,2024-09-17,,2,Joshua Barraclough,1,"Blockchain and Cryptocurrency, Financial Services, Internet Services, Other, Payments, Software",,,,,,"One Trading is an institutional-grade spot exchange for digital assets, holding a VASP license in Italy. In 2024, it's been granted a MiFID II license in the Netherlands and became EU's first perpetual futures exchange. The fastest digital asset trading venue in the world, built in partnership with AWS.",,support@onetrading.com,https://www.linkedin.com/company/one-trading,https://onetrading.com,,,,,2019-01-01,year,Active,One Trading is the first perpetual futures Exchange in the EU and the first in Europe to offer derivatives to eligible retail clients.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Vedrai,https://www.crunchbase.com/organization/vedrai,Private,For Profit,"Artificial Intelligence (AI), Information Services, Information Technology",101-250,"Milan, Lombardia, Italy","20,964",,"18,412",,,14,,,,,,,,,,,,,,,,,,,,,,,,Made Acquisitions,2,3,,"Pietro Giuliani, Giorgio Chiellini, Andrea Bocelli",45000000,EUR,49810978,Series A,40000000,EUR,43900421,Series A,40000000,EUR,43900421,2022-04-04,Early Stage Venture,2,"Ferdinando Meo, Michele Grazioli",2,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,,,,"Vedrai is a technology company that develops online platforms based on AI. They use Artificial Intelligence to support companies, leveraging data from all over the world to help make more informed decisions with less margin for error. The company's data intelligence unifies and optimizes information processing, allowing it to maximize the value of data. Vedrai was founded in 2020 and is headquartered in Milan, Italy.",,info@vedrai.com,https://www.linkedin.com/company/vedrai/,https://vedrai.com/,,,,,2020-09-01,month,Active,Vedrai is a technology company that develops online platforms based on AI.,$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
ExoLab Italia,https://www.crunchbase.com/organization/exo-lab-italia,Private,For Profit,"Biotechnology, Health Care, Medical, Pharmaceutical",1-10,"L'aquila, Abruzzi, Italy","21,435",,"18,886",,,19,,,,,,,,,,,,,,,,,,,,,,,,,,4,,"CDP Venture Capital, Riello Investimenti Partners, DSM-Firmenich Venturing, Maia Ventures",5500000,EUR,5799437,Series A,5000000,EUR,5233279,Series A,5000000,EUR,5233279,2025-02-18,Early Stage Venture,2,,,"Biotechnology, Health Care, Science and Engineering",,,,,,"ExoLab Italia creates  innovative products based on plant exosomes from organic farming for dermocosmetic, nutraceutical and life science applications. They are specialize in tailor-made consultancy services. The company provides bioavailable supplements containing the entire phytocomplex present in plants, offering a new approach to prevention and treatment.",,,https://www.linkedin.com/company/exo-lab-italia/,https://www.exolabitalia.net/,,,,,2020-07-01,month,Active,"ExoLab Italia is a biotechnological company that provides research, development and production of products.",,67100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Resalis Therapeutics,https://www.crunchbase.com/organization/resalis-therapeutics,Private,For Profit,"Biotechnology, Clinical Trials, Health Care, Medical, Pharmaceutical, Product Research, Therapeutics",1-10,"Torino, Piemonte, Italy","21,951",,"19,345",,,17,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,"Sanofi, Sunstone Life Science Ventures, Claris Ventures, Club degli Investitori, Italian Angels for Growth",26000000,EUR,28652393,Corporate Round,,,,Corporate Round,,,,2024-10-28,,4,Riccardo Panella,1,"Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering",,,,,,"Resalis Therapeutics changes the way metabolic diseases are treated by targeting a key regulator of pathways that contribute to obesity and fatty liver disease. RES-010, the company's flagship program, is being developed using its expertise in non-coding RNA drug modality and lipid metabolism to provide a safe and convenient treatment option with disease-modifying therapeutic effects, such as long-term weight loss and reduced hepatic steatosis. Resalis is rapidly moving RES-010 into clinical trials for a variety of metabolic disorders, backed by strong preclinical evidence.",,info@resalistherapeutics.com,https://www.linkedin.com/company/resalistherapeutics,https://www.resalistherapeutics.com,,,,,2021-01-01,year,Active,Resalis Therapeutics sviluppa un farmaco in grado di inibire un micro-RNA per il trattamento di alcune malattie metaboliche,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Young Platform,https://www.crunchbase.com/organization/young-platform,Private,For Profit,"Blockchain, Cryptocurrency, FinTech",51-100,"Turin, Piemonte, Italy","22,046",,"19,431",,,6,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,"Sygnum, United Ventures, Pario Ventures, Azimut Holding, Banca Sella",23227480,EUR,25131324,Venture - Series Unknown,2650000,EUR,2949271,Venture - Series Unknown,2650000,EUR,2949271,2024-09-16,,4,"Andrea Carollo, Andrea Ferrero, Daniele Rinaldi, Marco Ciarmoli, Samuele Raimondo, Stefan A. Gheban",6,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",,,,,,"Young Platform is a brand-new cryptocurrency exchange that allows you to buy and sell digital assets (e.g. Bitcoin, Ethereum) with FIAT money (Euros and Pounds) safely, quickly and easily!",,support@youngplatform.com,https://www.linkedin.com/company/youngplatformcme/,https://youngplatform.com/,,,,,2018-06-12,day,Active,"Young Platform is a brand-new cryptocurrency exchange designed for the next generation of investors. It is safe, quick and easy to use.",$1M to $10M,10129,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Runtheons,https://www.crunchbase.com/organization/runtheons,Private,For Profit,"Artificial Intelligence (AI), Fitness, Sports, Wellness",1-10,"Brescia, Lombardia, Italy","23,613",,"20,863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"IKIGAI, Business Angels",100000,EUR,103906,Pre-Seed,100000,EUR,103906,Pre-Seed,100000,EUR,103906,2025-02-20,Seed,1,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software, Sports",,,,,,,,hello@runtheons.com,https://www.linkedin.com/company/runtheons/,https://www.runtheons.com,,,,,2023-10-12,day,Active,Runtheons is a sports performance company specializing in performing enhancement technology solutions.,$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Focoos AI,https://www.crunchbase.com/organization/focoos-ai,Private,,Software,1-10,"Turin, Piemonte, Italy","24,001",,"21,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,"CDP Venture Capital, Vertis, Exor Ventures, Vento, Galaxia",2650000,EUR,2769313,Seed,2650000,EUR,2769313,Seed,2650000,EUR,2769313,2025-02-19,Seed,1,,,Software,,,,,,"Focoos AI simplifies and accelerates the adoption of artificial vision by offering a platform equipped with ready-to-use neural networks that are easily adaptable to user needs, significantly reducing development time and costs.",,,https://www.linkedin.com/company/focoosai,https://focoos.ai/,,,,,2022-01-01,year,Active,Focoos AI provides software that automates the process of creating and training of artificial neural networks optimized for any device.,,10128,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Aindo,https://www.crunchbase.com/organization/aindo,Private,For Profit,"Artificial Intelligence (AI), Machine Learning",11-50,"Trieste, Friuli-Venezia Giulia, Italy","24,694",,"21,863",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,"United Ventures, Vertis, European Data Incubator, Vertis Venture 3 Tech Transfer",8900000,EUR,9598718,Series A,6000000,EUR,6322678,Series A,6000000,EUR,6322678,2023-10-18,Early Stage Venture,3,"Borut Svara, Daniele Panfilo, Sebastiano Saccani",3,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,,,,"At Aindo, our mission is to enable Artificial Intelligence (AI) to add value to society while respecting people's rights and freedoms. We achieve this mission through the Aindo Synthetic Data Platform. Synthetic data form a revolutionary new paradigm in privacy protection and fairness. They are hyper-realistic, yet artificial and devoid of sensitive information. They replace personal data or rebalance biased datasets for safe and fair analysis. Synthetic data allows us to responsibly seize the wealth of opportunities AI presents. This is invaluable in sectors such as healthcare, finance, infrastructure, and policymaking. Aindo is one of the first teams dedicated to synthetic data. We actively further the state-of-the-art. Our platform’s best-in-class performance and advanced capabilities reflect this. We offer an effortless user-experience. This allows both experts and non-experts to integrate synthetic data directly in their data projects, even when their data assets are siloed; unstructured; unlabeled; and contain advanced data types and formats.",+39 040 375 5640,info@aindo.ai,https://www.linkedin.com/company/aindo/,http://www.aindo.ai/,,,,,2018-06-27,day,Active,"At Aindo, our mission is to enable Artificial Intelligence (AI) to add value to society while respecting people's rights and freedoms.",,34149,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
